DATA,VALOR,DESCRIÇÃO,CATEGORIA,OPERAÇÃO,MOVIMENTAÇÃO,ARCHIVE
2022-09-11,"32,91",Trinkando,Supermercado,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-10
2023-12-08,"32,78",Leonardo Almeida Ambrosio,Lazer,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-01
2022-12-16,"32,6",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-01
2024-05-11,"32,52",Self Landia,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-06
2024-05-19,"32,5",Pag*Xuxubebidas,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-06
2023-01-20,"32,4",Mc Donalds Ctg,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-02
2022-10-02,32,Pag*Leniciadasilvafer,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-11
2023-09-23,32,Cantina Claudio Burgue,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-10
2024-05-26,"31,95",Rogerio Mercadinho,Supermercado,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-06
2022-12-13,"31,76",Ponto do Riacho,Compras/Catira,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-01
2023-10-07,"31,66",Eduardo De Freitas Silva,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-11
2022-09-24,"31,39",Pag*Surubimnoespeto,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-10
2023-03-08,31,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-04
2023-06-16,31,Nicolas Nogueira Pedrosa,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-07
2024-05-27,31,Extrafarma Oratorio,Saúde,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-06
2023-12-27,"30,97",Eduardo Henrique Custodio Rodrigues,Barbearia,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-01
2022-02-27,30,Thalis Ricardo de Souz,Outros,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-03
2022-08-04,30,Hgs Exames,Saúde,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-09
2022-12-25,30,As Negocio Empreendime,Outros,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-01
2023-01-14,30,Posto Norte Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-02
2023-01-11,30,Posto Formula,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-02
2023-03-30,30,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-04
2023-03-14,30,Posto Quick,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-04
2023-03-05,30,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-04
2023-04-21,30,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-05
2023-04-14,30,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-05
2023-04-05,30,Ponto do Riacho,Compras/Catira,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-05
2023-05-25,30,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-06
2023-05-17,30,Posto Paulistinha,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-06
2023-05-16,30,Abastec*Abastece Ai,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-06
2023-05-13,30,Posto Abasteca Aqui Ba,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-06
2023-05-11,30,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-06
2023-04-30,30,Abastec*Abastece Ai,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-06
2023-06-24,30,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-07
2023-06-21,30,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-07
2023-07-20,30,Posto Trancoso,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-08
2023-07-03,30,Posto Cn,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-08
2023-07-01,30,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-08
2023-08-26,30,Frogpay*B7 Plus,Lazer,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-09
2023-08-20,30,Alfa Auto Posto,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-09
2023-09-29,30,Posto Labareda,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-10
2023-09-20,30,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-10
2023-09-14,30,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-10
2023-09-12,30,Frogpay*B7 Plus,Lazer,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-10
2023-10-15,30,Pag*Silmarareisdasilv,Barbearia,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-11
2023-10-13,30,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-11
2023-10-11,30,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-11
2023-10-08,30,Inconfidentes Combusti,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-11
2023-11-29,30,Posto Quick,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-12
2023-11-24,30,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-12
2023-11-02,30,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-12
2023-12-23,30,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-01
2023-12-21,30,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-01
2023-12-04,30,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-01
2024-01-18,30,Bar do Sabao,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-02
2024-03-12,30,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-04
2024-04-22,30,Posto Carmenia S.A,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2024-04-21,30,Gege Hot Dog,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2024-04-15,30,Claudioburgue,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2024-04-11,30,As Negocios Empreendi,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2022-06-20,"29,99",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-07
2022-12-15,"29,98",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-01
2024-05-25,"29,91",Ifd*Luara Pereira Dutr,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-06
2024-06-08,"29,91",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-07
2024-03-05,"29,9",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-04
2023-12-08,"29,88",Eduardo Henrique Custodio Rodrigues,Barbearia,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-01
2024-05-02,"29,7",Grassy Caffe,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-06
2023-06-03,"29,63",Padaria Pao Divino,Padaria,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-07
2023-04-27,"29,43",Pizzaiolo Cidade Nova,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-05
2023-04-25,"29,41",Pizzaiolo Cidade Nova,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-05
2022-11-27,"29,4",Panificadora Tio Louro,Padaria,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-12
2023-08-03,"29,31",Emporio,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-09
2024-04-08,29,Sorveteria Almeida,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2023-01-29,"28,9",Mc Donalds Ctg,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-02
2024-05-08,"28,51",Regalle Restaurante,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-06
2023-01-25,"28,49",Pag*Steam,Assinaturas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-02
2024-05-04,"28,3",Estrela de Moema,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-06
2022-12-22,"28,03",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-01
2023-06-04,28,Mp Paga*Ancho Catering,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-07
2024-02-10,28,Bar e Merc Metro,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-03
2024-03-14,28,Gege Hot Dog,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-04
2024-04-13,"27,95",Pag*Pointbeerbetania,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2022-08-07,"27,9",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-09
2023-04-22,"27,5",Drinks Alvorada,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-05
2023-01-22,"26,9",Pampulha,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-02
2023-10-06,"26,3",Pag*Surubimnoespeto,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-11
2022-12-22,"26,22",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-01
2023-06-14,26,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-07
2023-08-08,26,Padaria Pao Divino,Padaria,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-09
2024-06-09,26,Old School,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-07
2024-01-01,"25,9",Tembici,Lazer,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-02
2024-01-01,"25,9",Tembici,Lazer,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-02
2024-02-11,"25,75",Padaria Pao Divino,Padaria,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-03
2022-11-02,"25,39",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-12
2024-05-29,"25,38",Mr,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-06
2023-08-25,"25,17",Frutosdegoias,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-09
2022-11-25,"25,15",Pizzaiolo Cidade Nova,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-12
2023-03-01,25,Ponto do Riacho,Compras/Catira,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-04
2023-04-06,25,Posto Miragem,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-05
2023-05-11,25,Ana Carolina de Olivei,Supermercado,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-06
2023-06-18,25,Pag*Silmarareisdasilv,Barbearia,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-07
2023-08-25,25,Auto Posto Arrudao,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-09
2024-04-27,25,Rest e Lanc Felicios,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2024-04-08,25,Pag*Gabrielelanch,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2023-05-18,"24,99",Ifood *Ifd*Umbigo do,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-06
2022-06-19,"24,96",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-07
2024-06-03,"24,96",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-07
2022-12-15,"24,93",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-01
2024-01-04,"24,93",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-02
2024-06-09,"24,93",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-07
2022-01-30,"24,9",Bk Brasil Operacao Ass,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-02
2022-04-04,"24,9",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-05
2024-02-19,"24,89",Ifd*Douglas Fernandes,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-03
2024-05-23,"24,67",Regalle Restaurante,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-06
2022-01-31,"24,43",Chuchu Bebidas,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-03
2023-11-07,"24,35",Saldo em rotativo,Taxas/Imposto,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-12
2022-09-12,"24,2",Pag*Mepayfinancial,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-10
2022-09-11,"24,2",Pag*Mepayfinancial,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-10
2022-08-29,24,Ta Osso Beach,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-09
2024-02-03,24,Sinal Auto Pecas e Ace,Carro,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-03
2022-12-30,"23,96",Supermercado Super Lun,Supermercado,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-01
2023-12-04,"23,75",Pizzaria Quatro Sabore,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-01
2023-04-20,"23,64",Churrascaria Cidade No,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-05
2024-05-02,"23,47",Pag*Postoportaldo,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-06
2024-03-18,"23,04",Raia3338,Saúde,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-04
2024-03-24,23,Gege Hot Dog,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-04
2024-01-03,"22,98",Ifd*Bar e Lanchonete S,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-02
2024-05-07,"22,9",Fabio Daiani Restauran,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-06
2023-06-08,"22,73",Pizzaiolo Cidade Nova,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-07
2023-07-20,"22,5",Zp *Sympla 6143ha,Lazer,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-08
2023-12-08,"22,03",Carlos Junio Ferreira Da Silva,Cigarro,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-01
2022-08-29,22,Ta Osso Beach,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-09
2023-01-28,22,Pag*Sinalautopecas,Carro,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-02
2023-02-27,22,Pag*Mepayfinancial,Compras/Catira,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-03
2023-02-13,22,Claudioburgue,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-03
2023-02-04,22,Jrlprdutos,Carro,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-03
2023-04-02,22,Minas Bebidas Distribu,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-05
2024-02-07,"21,85",Gabriel Hilbert Antunes,Lazer,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-03
2022-12-10,"21,72",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-01
2024-03-23,"21,61",Pn Trigo Vinho,Padaria,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-04
2022-10-28,"21,59",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-11
2023-12-10,"21,58",Carlos Junio Ferreira da Silva,Cigarro,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-01
2022-10-09,"21,55",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-11
2023-11-07,"21,54",PEDRO LUCAS SILVA CAMARA                ,Cigarro,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-12
2023-05-30,"21,41",Churrascaria Cidade No,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-06
2022-05-10,"21,3",Valtunir Jose Pereira,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-06
2022-11-23,"21,3",Pag*Restaurantet,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-12
2023-07-03,"21,25",Pizzaria 4 Sabores,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-08
2024-04-02,"21,06",Pn Trigo Vinho,Padaria,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2022-04-22,21,Pag*Silmarareisdasilv,Barbearia,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-05
2022-09-22,21,Pag*Silmarareisdasilv,Barbearia,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-10
2023-04-03,21,sem Destino Santa Cruz,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-05
2023-04-03,"20,98",Sup Vista Alegre,Supermercado,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-05
2023-12-21,"20,98",Wesley Gomes de Oliveira,Cobrar,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-01
2023-05-07,"20,93",DAWIDSON ALMEIDA PIRES,Futebol,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-06
2023-08-08,"20,93",FABRICIO LENE DE JESUS,Cigarro,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-09
2023-02-08,"20,9",Ponto do Riacho,Compas/Catira,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-03
2022-04-23,"20,8",Pag*Samsfood,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-05
2023-03-10,"20,78",Dawidson Almeida Pires,Futebol,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-04
2023-02-09,"20,68",Marlon Hudson Dias Cassiano ,Barbearia,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-03
2023-03-22,"20,52",Lucas Eduardo Silva Camara,Dívida,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-04
2022-01-01,"20,5",Padaria Remmar,Padaria,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-02
2022-01-31,"20,5",Geraldo Ferreira de M,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-03
2023-10-15,"20,5",Gilvander Gomes Gonza,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-11
2022-12-23,"20,39",Marlon Hudson Dias Cassiano ,Barbearia,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-01
2023-02-24,"20,33",Marlon Hudson Dias Cassiano ,Barbearia,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-03
2022-12-01,"20,32",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-01
2022-10-01,"20,09",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-11
2023-11-16,"20,03",Sol e Neve,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-12
2022-03-31,"20,01",Tienda Y Distribuidora,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-05
2022-04-30,20,Higor Fernandes Freit,Outros,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-06
2022-06-18,20,Nono Caldos,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-07
2022-12-30,20,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-01
2022-12-29,20,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-01
2022-12-14,20,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-01
2022-12-12,20,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-01
2022-12-02,20,Rd Posto de Combustive,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-01
2023-04-14,20,Rd Posto de Combustive,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-05
2023-04-13,20,Posto Tereza Cristina,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-05
2023-04-02,20,Pag*Drogariae,Saúde,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-05
2023-09-04,20,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-10
2023-09-02,20,Pizza do Barulho,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-10
2023-10-24,20,Expressa Combustiveis,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-11
2023-10-04,20,Posto Olimar Comercio,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-11
2023-11-03,20,Pag*Rafaelalvesda,Outros,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-12
2024-03-25,20,Pag*Spotpasssolucoes,Lazer,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-04
2024-03-31,20,Sara Carvalho,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2024-06-08,20,Auto Posto Arrudao,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-07
2022-12-13,"19,99",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-01
2024-05-23,"19,99",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-06
2024-06-05,"19,99",Pao de Acucar-2449,Supermercado,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-07
2024-04-07,"19,98",Drogaria Fabiana,Saúde,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-05
2023-07-27,"19,95",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-08
2022-04-03,"19,92",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-05
2023-06-06,"19,92",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-07
2024-05-19,"19,9",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-06
2023-07-15,"19,89",Ifood *Ifd*Restauran,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-08
2022-06-20,"19,3",Pag*Samsfood,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-07
2023-07-22,19,Restaurante e Lanchone,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-08
2023-12-30,"18,99",If*Ifoodpos,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-01
2024-03-14,"18,89",Ifd*Domingas Francisca,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-04
2022-10-30,"18,65",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-11
2022-10-09,"18,52",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-11
2022-10-29,"18,5",Feito em Casa,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-11
2023-02-21,"18,18",Carol Sorvetes e Acai,Supermercado,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-03
2022-04-11,18,Meep *Rodeio de Par,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-05
2023-03-24,18,Supermercado Super Lun,Supermercado,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-04
2023-09-04,18,Tropeiro Real,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-10
2022-04-03,"17,96",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-05
2022-08-09,"17,94",Santa Cruz,Supermercado,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-09
2024-06-11,"17,94",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-07
2023-04-26,"17,9",Garagem Hamburgueria,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-05
2023-07-02,"17,89",Ifood *Ifd*2b Blends,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-08
2022-10-02,"17,88",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-11
2024-05-26,"17,74",Ielmo Paes e Doces,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-06
2024-02-17,"17,5",Gege Hot Dog,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-03
2022-10-09,"17,39",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-11
2023-02-14,"17,34",Supermercado Super Lun,Supermercado,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-03
2022-08-29,17,Mauricinho do Sanduich,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-09
2023-02-11,17,Geraldo Ferreira de M,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-03
2022-05-09,"16,95",Mp *Caiouber,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-06
2024-02-09,"16,93",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-03
2022-12-13,"16,92",Uber *Uber *Trip,Transporte,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-01
