DATA,VALOR,DESCRIÇÃO,CATEGORIA,OPERAÇÃO,MOVIMENTAÇÃO,ARCHIVE
2022-03-31,"80,02",Hugo Boss,Vestuário,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-05
2022-06-20,"79,99",Drogarias Pacheco,Saúde,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-07
2024-01-22,"77,9",Ifd*Carla Melo do Carm,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-02
2023-12-23,"77,37",Joselito Emporio e Bot,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-01
2024-01-15,"77,22",Bar do Sabao,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-02
2024-03-25,75,Pag*Spotpasssolucoes,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-04
2023-01-30,74,Pag*Xuxubebidas,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-02
2023-01-13,"73,64",Mercadolivre*Bailedaa,Lazer,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-02
2023-01-31,"73,64",Mercadolivre*Bailedaa 2/2,Lazer,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-03
2022-10-02,"72,36",Bar do Sabao 2 Ltda,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-11
2023-01-29,"72,3",Mc Donalds Ctg,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-02
2024-06-09,"70,24",Bar do Sabao Sinuca,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-07
2023-05-01,70,Posto Cruzeiro do Sul,Combustível,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-06
2023-09-06,70,Zeut,Vestuario,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-10
2023-05-21,"69,9",Villefort Jardim Indus,Supermercado,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-06
2024-06-07,69,Grupo Yes Churrascaria,Ifood/Restaurante,Despesa Cartão Crédito (Nubank),Despesa,nubank-2024-07
2022-05-09,"68,44",Saca Rolha Bar&Rest.,Bar/Bebidas,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-06
2023-04-09,"67,63",Supermerc S Luna,Supermercado,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-05
2023-06-18,"67,5",Ana Maraisa da Silva P,Casa,Despesa Cartão Crédito (Nubank),Despesa,nubank-2023-07
2022-11-27,"66,29",Assai Atacadista,Supermercado,Despesa Cartão Crédito (Nubank),Despesa,nubank-2022-12
